# x_m,y_m
881.229620,-310.563293
882.163832,-315.474117
882.867570,-320.423110
883.292924,-325.403621
883.390764,-330.401096
883.111398,-335.391192
882.409466,-340.339897
881.230139,-345.194041
879.490586,-349.882463
877.415176,-354.408575
874.598990,-358.556254
871.474687,-362.440859
867.932632,-365.973203
864.120075,-369.203487
860.078765,-372.148606
855.862386,-374.836145
851.506898,-377.291838
847.043044,-379.541821
842.499882,-381.625590
837.913218,-383.613296
833.315680,-385.576835
828.718416,-387.540975
824.122583,-389.508467
819.528017,-391.478914
814.934493,-393.451789
810.341787,-395.426569
805.749675,-397.402729
801.157931,-399.379744
796.566330,-401.357092
791.974646,-403.334247
787.382656,-405.310686
782.790134,-407.285885
778.196884,-409.259396
773.602769,-411.230895
769.007659,-413.200075
764.411423,-415.166626
759.813932,-417.130240
755.215057,-419.090609
750.614667,-421.047423
746.012620,-423.000335
741.408187,-424.947601
736.797500,-426.879711
732.171937,-428.775597
727.523860,-430.616119
722.850203,-432.391167
718.149058,-434.091997
713.418325,-435.708639
708.656264,-437.230450
703.861651,-438.646207
699.033728,-439.943639
694.172484,-441.109878
689.278975,-442.131935
684.355314,-442.996510
679.404165,-443.686295
674.429609,-444.179743
669.438211,-444.454575
664.439394,-444.488063
659.445620,-444.262444
654.471411,-443.767115
649.533409,-442.992560
644.650556,-441.927691
639.844012,-440.558135
635.135570,-438.880008
630.541728,-436.909647
626.073232,-434.669843
621.735010,-432.187370
617.527047,-429.489040
613.460218,-426.582464
609.560244,-423.455746
605.838183,-420.117380
602.284060,-416.600827
598.885086,-412.935276
595.627304,-409.144491
592.499973,-405.245178
589.497645,-401.248075
586.615572,-397.163638
583.847408,-393.001058
581.186591,-388.768999
578.626083,-384.475482
576.158454,-380.127803
573.775792,-375.732954
571.469241,-371.297738
569.229434,-366.828421
567.047056,-362.330741
564.912750,-357.810038
562.817100,-353.271264
560.750694,-348.719085
558.704137,-344.157930
556.668084,-339.592062
554.633254,-335.025636
552.590447,-330.462761
550.530556,-325.907563
548.444582,-321.364242
546.323637,-316.837133
544.158960,-312.330767
541.941925,-307.849938
539.664049,-303.399745
537.317314,-298.985456
534.894449,-294.612456
532.388537,-290.286520
529.792767,-286.013850
527.100251,-281.801690
524.296101,-277.663979
521.339464,-273.633444
518.187188,-269.751933
514.812282,-266.062287
511.190019,-262.615725
507.299943,-259.477180
503.130358,-256.720796
498.683219,-254.443538
493.982106,-252.753455
489.079423,-251.790584
484.102370,-251.628672
479.155041,-252.241221
474.320257,-253.534113
469.689645,-255.418138
465.295011,-257.796420
461.139528,-260.573940
457.220267,-263.678027
453.525578,-267.047064
450.038276,-270.628726
446.727637,-274.374143
