# x_m,y_m,kappa_radpm
400.150881,481.272936,0.00518425
398.299833,485.915329,0.00473677
396.339372,490.512587,0.00430063
394.280376,495.066579,0.00391169
392.132468,499.579247,0.00360519
389.903513,504.052191,0.00335046
387.600424,508.487053,0.00301644
385.231681,512.886931,0.00245933
382.809848,517.257801,0.00168318
380.351336,521.608305,0.00088904
377.872640,525.947463,0.00032378
375.385759,530.281947,0.00008060
372.896341,534.614930,0.00006200
370.405352,538.946975,0.00011111
367.912037,543.277670,0.00013950
365.415802,547.606686,0.00014025
362.916561,551.933968,0.00013326
360.414431,556.259581,0.00012857
357.909515,560.583581,0.00012579
355.401881,564.906006,0.00012311
352.891590,569.226888,0.00012022
350.378703,573.546260,0.00011729
347.863284,577.864160,0.00011437
345.345399,582.180620,0.00011144
342.825110,586.495678,0.00010849
340.302482,590.809369,0.00010563
337.777576,595.121727,0.00010299
335.250452,599.432784,0.00010041
332.721167,603.742574,0.00009715
330.189797,608.051137,0.00009228
327.656447,612.358538,0.00008537
325.121266,616.664861,0.00007693
322.584430,620.970210,0.00006794
320.046132,625.274699,0.00005906
317.506563,629.578438,0.00005038
314.965911,633.881537,0.00004177
312.424360,638.184105,0.00003315
309.882097,642.486253,0.00002451
307.339307,646.788089,0.00001586
304.796176,651.089724,0.00000722
302.252890,655.391267,-0.00000141
299.709634,659.692828,-0.00001005
297.166594,663.994516,-0.00001872
294.623957,668.296443,-0.00002748
292.081910,672.598719,-0.00003622
289.540641,676.901455,-0.00004467
287.000330,681.204756,-0.00005253
284.461147,685.508723,-0.00005971
281.923246,689.813446,-0.00006643
279.386774,694.119011,-0.00007301
276.851874,698.425501,-0.00007965
274.318688,702.733000,-0.00008636
271.787361,707.041591,-0.00009308
269.258039,711.351360,-0.00009980
266.730866,715.662389,-0.00010651
264.205988,719.974763,-0.00011322
261.683550,724.288565,-0.00011993
259.163698,728.603878,-0.00012664
256.646577,732.920784,-0.00013335
254.132333,737.239367,-0.00014006
251.621113,741.559709,-0.00014677
249.113062,745.881891,-0.00015346
246.608326,750.205995,-0.00016012
244.107051,754.532103,-0.00016703
241.609391,758.860298,-0.00017456
239.115502,763.190667,-0.00018053
236.625496,767.523266,-0.00017941
234.139371,771.858094,-0.00017702
231.657214,776.195218,-0.00021389
229.179983,780.535188,-0.00033450
226.710034,784.879274,-0.00045785
224.248969,789.228277,-0.00027379
221.791312,793.579170,0.00061685
219.317042,797.920939,0.00235976
216.789336,802.232533,0.00468542
214.160385,806.484215,0.00715093
211.380927,810.640463,0.00949516
208.406843,814.661489,0.01173899
205.200540,818.502087,0.01408148
201.729269,822.107916,0.01678906
197.964051,825.409782,0.02003312
193.883989,828.318063,0.02369282
189.488977,830.722615,0.02736326
184.815029,832.504510,0.03046432
179.939062,833.560912,0.03218017
174.966488,833.834474,0.03170750
170.008961,833.332218,0.02901225
165.162971,832.123937,0.02486772
160.493223,830.323499,0.01999851
156.022280,828.065007,0.01474412
151.730338,825.483656,0.00935025
147.565760,822.705022,0.00404848
143.459864,819.842741,-0.00108208
139.339055,817.002366,-0.00606750
135.133494,814.287327,-0.01088197
130.785293,811.803636,-0.01546988
126.257587,809.662876,-0.01988374
121.543008,807.983171,-0.02417336
116.669348,806.883661,-0.02794658
111.699882,806.466318,-0.03019493
106.724978,806.788247,-0.03004369
101.844101,807.841897,-0.02778470
97.144667,809.561066,-0.02471696
92.689024,811.850737,-0.02202687
88.514989,814.619156,-0.02012518
84.644645,817.793095,-0.01882011
81.092402,821.315948,-0.01780516
77.868611,825.140340,-0.01693724
74.980552,829.223745,-0.01620519
72.433112,833.527480,-0.01560321
70.229291,838.016414,-0.01507770
68.369949,842.658237,-0.01456058
66.853107,847.422750,-0.01402456
65.673817,852.281698,-0.01349600
64.825006,857.209006,-0.01301804
64.298729,862.180939,-0.01261119
64.087005,867.175971,-0.01226975
64.182076,872.174428,-0.01198469
64.576484,877.158109,-0.01176129
65.263339,882.109908,-0.01161497
66.236703,887.013401,-0.01155369
67.491768,891.852434,-0.01156855
69.024645,896.610786,-0.01164467
70.831982,901.271890,-0.01177796
72.910711,905.818548,-0.01197286
75.257878,910.232669,-0.01222076
77.870236,914.495234,-0.01249133
80.743532,918.586567,-0.01276032
83.871914,922.486519,-0.01304214
87.247839,926.174254,-0.01336396
90.862082,929.628140,-0.01368370
94.702992,932.827013,-0.01385540
98.754945,935.753283,-0.01372278
102.997354,938.396297,-0.01326345
107.405680,940.753456,-0.01261935
111.954233,942.828228,-0.01197797
116.618971,944.626710,-0.01144085
121.378774,946.155162,-0.01100226
126.215198,947.419398,-0.01061609
131.111722,948.425209,-0.01025458
136.053245,949.178737,-0.00991477
141.025930,949.686451,-0.00959934
146.017136,949.954998,-0.00930579
151.015332,949.991131,-0.00902870
156.009993,949.801712,-0.00876449
160.991508,949.393715,-0.00851275
165.951104,948.774160,-0.00827515
170.880782,947.950019,-0.00805418
175.773227,946.928111,-0.00784985
180.621741,945.715089,-0.00765402
185.420242,944.317599,-0.00744875
190.163374,942.742629,-0.00721488
194.846662,940.997852,-0.00694544
199.466611,939.091700,-0.00665190
204.020651,937.033037,-0.00636115
208.506887,934.830529,-0.00610702
212.923689,932.491930,-0.00591433
217.269297,930.023634,-0.00577958
221.541716,927.430804,-0.00566960
225.738964,924.718039,-0.00554793
229.859441,921.890054,-0.00540160
233.902120,918.951960,-0.00523606
237.866563,915.909192,-0.00505003
241.753016,912.767498,-0.00482890
245.562621,909.533096,-0.00456554
249.297505,906.212704,-0.00427846
252.960511,902.813187,-0.00400362
256.554642,899.340960,-0.00376928
260.082582,895.801545,-0.00357915
263.546551,892.199543,-0.00341639
266.948484,888.538928,-0.00326064
270.290324,884.823390,-0.00310096
273.574197,881.056537,-0.00293618
276.802450,877.241918,-0.00276927
279.977595,873.382991,-0.00260446
283.102221,869.483051,-0.00244694
286.178888,865.545172,-0.00230048
289.210042,861.572165,-0.00216443
292.198023,857.566597,-0.00203422
295.145122,853.530869,-0.00190495
298.053673,849.467280,-0.00177374
300.926094,845.378077,-0.00164099
303.764871,841.265444,-0.00151282
306.572421,837.131433,-0.00140031
309.350894,832.977853,-0.00130720
312.102156,828.806256,-0.00121184
314.828247,824.618227,-0.00106837
317.532221,820.415904,-0.00084216
320.218720,816.202363,-0.00055243
